CardID,JP,KR
X-T-050-T1,"自分の保健室から、出撃コストが3以下で、自分の出撃している生徒いずれかと同じ学校の生徒を最大1人選び、出撃または神秘解放させる。出撃させた場合、その生徒は、このターン終了時まで制圧できない。
[EX-COMBO/鷲見セリナ]このカードのコストは1になる。この効果で選ぶ生徒の出撃コストの最大値は4になる。","자신의 보건실에서 출격 비용이 3 이하이며 자신의 필드에 출격해있는 학생과 같은 학교의 학생을 최대 1명까지 선택해 출격시키거나 신비 해방한다. 출격시켰을 경우, 그 학생은 턴 종료 시까지 제압할 수 없다.
[EX-COMBO / 스미 세리나] 이 카드의 코스트가 1이 된다. 이 효과로 출격시킬 수 있는 학생의 코스트 상한이 4가 된다."
X-T-051,治療の時間ですよ～！,치료 시간이에요~
X-T-052,誇りと信念,신념과 긍지
補習授業部,補習授業部,보충수업부
C-T-012,阿慈谷ヒフミ,아지타니 히후미
C-T-012-T1,[出撃・神秘解放]《ペロロ人形》を1個生成し設置する。,"[출격・신비 해방] '페로로 인형' 1개를 생성한다. 이 '페로로 인형'은 필드를 떠날 경우, 소멸한다."
C-T-012-T2,[攻撃・制圧]自分の『白洲アズサ』がある場合、《ペロロ人形》を1個生成し設置する。,"[공격・제압] 자신의 '시라스 아즈사'가 필드에 있다면, '페로로 인형' 1개를 생성한다. 이 '페로로 인형'은 필드를 떠날 시 소멸한다."
C-T-012-T3,[永続]自分の『白洲アズサ』『浦和ハナコ』『下江コハル』がある場合、自分の生徒全員に+X/+Xする。Xの値は、この生徒のLvとする。,"[지속] 자신의 '시라스 아즈사', '우라와 하나코', '시모에 코하루'가 모두 필드에 있다면, 자신의 모든 학생은 +X/+X를 얻는다. X의 값은 이 학생의 Lv이다."
C-T-013,白洲アズサ,시라스 아즈사
C-T-013-T1,[永続]自分の『阿慈谷ヒフミ』がある場合、この生徒に+2/+2する。,"[지속] 자신의 '아지타니 히후미'가 필드에 있다면, 이 학생은 +2/+2를 얻는다."
C-T-013-T2,[出撃・神秘解放・攻撃]自分の『ペロロ人形』がある場合、カードを1枚引く。,"[출격 ・ 신비 해방 ・ 공격] 자신의 '페로로 인형'이 설치되어 있다면, 카드를 1장 뽑는다."
C-T-013-T3,[永続]自分の『阿慈谷ヒフミ』『浦和ハナコ』『下江コハル』がある場合、この生徒はダメージを受けない。,"[지속] 자신의 '아지타니 히후미', '우라와 하나코', '시모에 코하루'가 모두 필드에 있다면, 이 학생은 피해를 받지 않는다."
C-T-014,下江コハル,시모에 코하루
C-T-014-T1,[出撃・神秘解放]自分の生徒1人を選び、HPをすべて回復する。自分の『浦和ハナコ』がある場合、かわりに選んだ生徒と同じエリアの自分の生徒のHPをすべて回復する。,"[출격・신비 해방] 자신의 학생 1명을 선택한다. 그 학생의 HP를 최대치까지 회복시킨다. 자신의 '우라와 하나코'가 필드에 있다면, 대신 에어리어 1개를 선택해 그 에어리어에 있는 자신의 모든 학생들의 HP를 최대치까지 회복시킨다."
C-T-014-T2,[永続]自分の『阿慈谷ヒフミ』『白洲アズサ』『浦和ハナコ』がある場合、この生徒は+4/+4され、挑発を得る。,"[지속] 자신의 '아지타니 히후미', '시라스 아즈사', '우라와 하나코'가 모두 필드에 있다면, 이 학생은 +4/+4와 도발을 얻는다."
C-T-015,浦和ハナコ,우라와 하나코
C-T-015-T2,[永続]自分の『下江コハル』がある場合、この生徒は攻撃されず、自分の<補習授業部>が受けるすべてのダメージを2減らす。,"[지속] 자신의 '시모에 코하루'가 필드에 있다면, 이 학생은 공격받지 않고, 자신의 모든 '보충수업부'가 받는 대미지를 2 줄인다."
C-T-015-T3,[自分のエンドフェイズ]自分の『阿慈谷ヒフミ』『白洲アズサ』『下江コハル』がある場合、自分のデッキから、好きなカード最大1枚を選び、手札に加える。,"[자신의 엔드 페이즈] 자신의 '아지타니 히후미', '시라스 아즈사', '시모에 코하루' 모두가 필드에 있다면, 덱에서 카드 1장을 선택하여 패로 가져온다."
X-T-020,助けて、ペロロ様！,"도와줘요, 페로로 님!"
X-T-020-T1,"《ペロロ人形》を1個生成し設置する。
[EX-COMBO/阿慈谷ヒフミ]《ペロロ人形》をさらに1個生成し設置する。","페로로 인형' 1개를 생성한다. 이 '페로로 인형'은 필드를 떠날 경우, 소멸한다.
[EX-COMBO / 아지타니 히후미] '페로로 인형' 1개를 추가로 생성한다. 이 '페로로 인형'은 필드를 떠날 경우, 소멸한다."
X-T-021,禁じられた遊びを始めましょう,금지된 장난을 시작해볼까요?
X-T-021-T1,"カードを2枚引く。その後、自分の手札1枚を選び、デッキの一番上に置く。
[EX-COMBO/浦和ハナコ]自分の手札から、『下江コハル』最大1人を出撃または神秘解放させる。","카드 2장을 뽑는다. 그 후, 자신의 패에서 1장을 덱 맨 위에 놓는다.
[EX-COMBO / 우라와 하나코]자신의 패에서 '시모에 코하루'를 최대 1명까지 출격시키거나 신비 해방한다."
X-T-023,intulit mortem,intulit mortem
X-T-023-T1,"相手のカード1つを選び、5ダメージを与える。
[EX-COMBO/白洲アズサ]このカードのコストは1になる。このカードが与えるダメージは10になる。カードを1枚引く。","상대의 학생 1명을 선택한다. 그 학생에게 5 대미지를 준다.
[EX-COMBO / 시라스 아즈사] 이 카드의 코스트가 1이 된다. 이 카드로 주는 대미지가 10이 된다. 카드를 1장 뽑는다."
X-T-022,セイなる手榴弾,성스러운 수류탄
X-T-022-T1,"相手のカード1つを選び、そのカードと同じエリアの相手のカードすべてに3ダメージを与える。
[EX-COMBO/下江コハル]このカードのコストは1になる。選んだカードと同じエリアの自分の生徒のHPをすべて回復する。","상대의 학생 또는 설치물 1개를 선택한다. 그 카드와 같은 에어리어에 있는 상대의 모든 학생과 설치물에게 3 대미지를 준다.
[EX-COMBO / 시모에 코하루] 이 카드의 코스트가 1이 된다. 선택한 카드와 같은 에어리어에 있는 자신의 모든 학생들의 HP를 최대치까지 회복시킨다."
便利屋68,便利屋68,흥신소 68
C-T-008,陸八魔アル,리쿠하치마 아루
C-T-008-T1,[出撃・神秘解放]自分の手札を1枚捨ててもよい。そうしたら、手札から『陸八魔アル』以外の<便利屋68>を1枚出撃させる。,"[출격・신비 해방] 자신의 패에서 카드를 1장 버릴 수 있다. 버렸다면, 패에서 '리쿠하치마 아루' 이외의 '흥신소 68' 1장을 출격시킨다."
C-T-008-T2,[攻撃・制圧]自分の手札を2枚捨ててもよい。そうしたら、次の相手のターンのエンドフェイズまで、自分の<便利屋68>全員に+2/+2する。,"[공격・제압] 자신의 패에서 카드를 2장 버릴 수 있다. 버렸다면, 상대의 다음 엔드 페이즈까지 자신의 모든 '흥신소 68' 학생들은 +2/+2를 얻는다."
C-T-010,浅黄ムツキ,아사기 무츠키
C-T-010-T1,[出撃・神秘解放]自分の手札を1枚捨ててもよい。そうしたら、この生徒と同じエリアの相手のカードすべてにXダメージを与える。Xの値は、自分の出撃している<便利屋68>の人数とする。,"[출격・신비 해방] 자신의 패에서 카드를 1장 버릴 수 있다. 버렸다면, 이 학생과 같은 에어리어에 있는 상대의 모든 학생들에게 X 대미지를 준다. X는 자신의 필드에 있는 '흥신소 68' 학생의 숫자."
C-T-010-T2,[永続]自分の『陸八魔アル』全員に+1/+1する。,[지속] 자신의 모든 '리쿠하치마 아루'는 +1/+1를 얻는다.
C-T-010-T3,[攻撃]相手の生徒最大1人を選び、疲労させる。,[공격] 상대 학생 1명을 선택한다. 그 학생은 피로 상태가 된다.
C-T-011,鬼方カヨコ,오니카타 카요코
C-T-011-T1,[出撃・神秘解放]自分の手札を2枚捨ててもよい。そうしたら、この生徒と同じエリアの相手の生徒をすべて疲労させる。,"[출격・신비 해방] 자신의 패에서 카드를 2장 버릴 수 있다. 버렸다면, 이 학생과 같은 에어리어에 있는 상대의 모든 학생은 피로 상태가 된다."
C-T-011-T2,[自動]自分の『陸八魔アル』が攻撃または制圧する時、カードを1枚引く。,"[자동] 자신의 '리쿠하치마 아루'가 공격 또는 제압할 때, 카드를 1장 뽑는다."
C-T-009,伊草ハルカ,이구사 하루카
C-T-009-T1,[攻撃]自分の手札を1枚捨ててもよい。そうしたら、攻撃先の生徒にXダメージを与える。Xの値は、自分の出撃している<便利屋68>の人数×2とする。,"[공격] 자신의 패에서 카드를 1장 버릴 수 있다. 버렸다면, 상대의 학생 1명에게 X 대미지를 준다. X는 자신의 필드에 있는 '흥신소 68' 학생의 숫자×2다."
C-T-009-T2,[永続]自分の『陸八魔アル』は攻撃されない。,[지속] 자신의 '리쿠하치마 아루'는 공격받지 않는다.
C-T-009-T3,[永続]この生徒が受けるすべてのダメージをX減らす。Xの値は、この生徒以外の自分の<便利屋68>の人数とする。,[지속] 이 학생이 받는 피해를 X 줄인다. X는 이 학생 이외의 필드에 있는 '흥신소 68' 학생의 숫자.
X-T-008,ハードボイルドショット,하드보일드 샷
X-T-008-T1,"相手のカード1つを選び、5ダメージを与える。
[EX-COMBO/陸八魔アル]選んだカードと同じエリアの他の相手のカードすべてに5ダメージを与える。さらに、自分の『鬼方カヨコ』、『浅黄ムツキ』、『伊草ハルカ』があれば、かわりに相手のカードすべてに5ダメージを与える。","상대의 학생 또는 설치물 1개를 선택한다. 그 대상에게 5 대미지를 준다.
[EX-COMBO / 리쿠하치마 아루]선택한 카드와 같은 에어리어에 있는 상대의 다른 모든 학생과 설치물에게 5 대미지를 준다. 만약 자신의 '오니카타 카요코', '아사기 무츠키', '이구사 하루카' 모두가 필드에 있다면, 대신 상대의 모든 학생과 설치물에게 5 대미지를 준다."
X-T-010,灼熱のセレナーデ,작열의 세레나데
X-T-010-T1,"相手のカード1つを選び、そのカードと同じエリアの相手のカードすべてに2ダメージを与える。
[EX-COMBO/浅黄ムツキ]このカードが与えるダメージは4になる。","상대의 학생 1명을 선택한다. 그 학생과 같은 에어리어에 있는 상대의 모든 학생과 설치물에게 2 대미지를 준다.
[EX-COMBO / 아사기 무츠키] 이 카드로 주는 대미지가 4가 된다."
X-T-011,パニックブリンガー,패닉 브링거
X-T-011-T1,"相手のカード1つを選び、3ダメージを与える。
[EX-COMBO/鬼方カヨコ]その生徒を疲労させる。","상대의 학생 1명을 선택한다. 그 학생에게 3 대미지를 준다.
[EX-COMBO / 오니카타 카요코] 그 학생은 피로 상태가 된다."
X-T-009,乱れ撃ち,펌프패닝
X-T-009-T1,"相手のカード1つを選び、1ダメージを与える。その後、自分の手札を好きな枚数捨ててよい。1枚以上捨てた場合、その枚数だけ、以下を繰り返す。
・相手のカード1つを選び、1ダメージを与える。
[EX-COMBO/伊草ハルカ]このカードの効果で与えるすべてのダメージは3になる。","상대의 학생 또는 설치물을 선택한다. 그 대상에게 1 대미지를 준다. 그 후, 자신의 패에서 카드를 원하는 만큼 버릴 수 있다. 1장 이상 버렸다면, 그 장수만큼 이하의 효과를 반복한다.
・상대의 학생 또는 설치물을 선택한다. 그 대상에게 1 대미지를 준다. 
[EX-COMBO / 이구사 하루카]이 카드로 주는 모든 대미지가 3이 된다."
七囚人,七囚人,일곱 죄수
C-T-044,狐坂ワカモ,코사카 와카모
C-T-044-T1,相手に1エリア以上制圧されている場合、この生徒の出撃コストは0になる。,"상대가 에어리어를 1개 이상 제압하고 있다면, 이 학생의 출격 코스트는 0이 된다."
C-T-044-T2,[永続]この生徒が場を離れる場合、収監される。,"[지속] 이 학생이 필드를 떠날 경우, 교정국으로 보내진다."
X-T-044,深紅の花占い,진홍빛 꽃점
X-T-044-T1,"すべてのカードから最大1つ選び、自分の『狐坂ワカモ』以外の選んだカードと同じエリアのすべてのカードに4ダメージを与える。自分の手札から『狐坂ワカモ』最大1人を出撃または神秘解放させる。
[EX-COMBO/狐坂ワカモ]自分の『狐坂ワカモ』全員を元気にする。(それらの生徒は攻撃権を得る。)","모든 학생 또는 설치물 중 1장을 선택한다. 자신의 '코사카 와카모'를 제외한, 선택한 카드와 같은 에어리어에 있는 모든 학생과 설치물에게 4 대미지를 준다. 자신의 패에서 '코사카 와카모' 1장을 출격시키거나 신비 해방한다.
[EX-COMBO / 코사카 와카모] 자신의 모든 '코사카 와카모'를 액티브 상태로 만든다."
アリウススクワッド,アリウススクワッド,아리우스 스쿼드
C-T-061,秤アツコ,하카리 아츠코
C-T-061-T1,[登場・神秘解放]自分のデッキの上から1枚を矯正局に置く。自分の矯正局から、<アリウス>最大1枚を手札に戻す。,[출격・신비 해방] 자신의 덱 위에서 카드 1장을 교정국으로 보낸다. 교정국에서 '아리우스' 카드를 최대 1장까지 패로 가져올 수 있다.
C-T-061-T2,[永続]相手の生徒は制圧できない。,[지속] 상대 학생은 제압할 수 없다.
C-T-061-T3,[永続]この生徒以外の自分の<アリウス>すべてに+X/+Xする。Xの値は、自分の<アリウススクワッド>の人数とし、3以上にはならない。,"[지속] 이 학생을 포함한, 자신의 모든 '아리우스' 학생들은 +X/+X를 얻는다. X는 자신의 '아리우스 스쿼드' 학생의 숫자. (최대 +2/+2)"
C-T-061-T4,[自分のエンドフェイズ]自分のデッキの上から1枚を矯正局に置く。,[자신의 엔드 페이즈] 자신의 덱 위에서 카드 1장을 교정국으로 보낸다.
C-T-063,槌永ヒヨリ,츠치나가 히요리
C-T-063-T1,[出撃・神秘解放]自分のデッキの上から3枚を見る。そのうち1枚を手札に、1枚を保健室に、残りの1枚を矯正局に置く。,"[출격・신비 해방] 자신의 덱 위에서 카드 3장을 보고, 그중 1장을 패로, 1장을 보건실로, 남은 1장을 교정국으로 보낸다."
C-T-063-T2,[永続]この生徒は、自分の他の<アリウススクワッド>が出撃している場合、攻撃されない。,"[지속] 이 학생은 자신의 다른 '아리우스 스쿼드'가 필드에 있다면, 공격받지 않는다."
C-T-063-T3,[自分のエンドフェイズ]自分のデッキの上から1枚を矯正局に置く。自分の保健室のカードを2枚選んで矯正局に置いてもよい。そうしたら、カードを1枚引く。,"[자신의 엔드 페이즈] 자신의 덱 위에서 카드 1장을 교정국으로 보낸다. 자신의 보건실에서 카드 2장을 교정국으로 보낼 수 있다. 보냈다면, 카드를 1장 뽑는다."
C-T-060,錠前サオリ,조마에 사오리
C-T-060-T1,[出撃・神秘解放]自分のデッキの上から1枚を矯正局に置く。この生徒と同じエリアの相手のカード1つを選び、5ダメージを与える。この効果で生徒を撃破したとき、自分は1枚引く。,"[출격・신비 해방] 자신의 덱 위에서 카드 1장을 교정국으로 보낸다. 이 학생과 같은 에어리어에 있는 상대의 학생 또는 설치물을 선택해 5 대미지를 준다. 이 대미지로 학생을 격파했다면, 자신은 카드를 1장 뽑는다."
C-T-060-T2,[永続]この生徒に+X/+0する。Xの値は、この生徒以外の<アリウススクワッド>の人数とする。,[지속] 이 학생은 +X/+0을 얻는다. X는 이 학생 이외의 '아리우스 스쿼드' 학생의 숫자.
C-T-060-T3,[自分のエンドフェイズ]自分のデッキの上から2枚を矯正局に置く。,[자신의 엔드 페이즈] 자신의 덱 위에서 카드 2장을 교정국으로 보낸다.
C-T-062,戒野ミサキ,이마시노 미사키
C-T-062-T1,[出撃・神秘解放]自分のデッキの上から1枚を矯正局に置く。この生徒と同じエリアの相手の設置物すべてに3ダメージを与える。,[출격・신비 해방] 자신의 덱 위에서 카드 1장을 교정국으로 보낸다. 이 학생과 같은 에어리어에 있는 상대의 모든 학생과 설치물에게 3 대미지를 준다.
C-T-062-T2,[攻撃・制圧]この生徒と同じエリアの相手のカードすべてにXダメージを与える。Xの値は、自分の<アリウススクワッド>の人数とする。,[공격・제압] 이 학생과 같은 에어리어에 있는 상대의 모든 학생과 설치물에게 X 대미지를 준다. X는 자신의 필드에 있는 '아리우스 스쿼드'의 인원수이다.
C-T-062-T3,[自分のエンドフェイズ]自分のデッキの上から1枚を矯正局に置く。,[자신의 엔드 페이즈] 자신의 덱 위에서 카드 1장을 교정국으로 보낸다.
C-T-Dummy,白洲アズサ(アリウス),시라스 아즈사(아리우스)
C-T-Dummy-1,[出撃・神秘解放]自分のデッキの上から1枚を矯正局に置く。自分の保健室のカードを1枚選んで矯正局に置いてもよい。そうしたら、自分の矯正局にあるEXスキルカード最大1枚を選んで手札に戻してもよい。,"[출격・신비 해방] 자신의 덱 위에서 카드 1장을 교정국으로 보낸다. 자신의 보건실에서 카드 1장을 교정국으로 보낼 수 있다. 보냈다면, 자신의 교정국에서 EX 스킬 카드를 최대 1장까지 선택해 패로 가져올 수 있다."
C-T-Dummy-2,[攻撃]この生徒と同じエリアに自分の他の生徒がいなければ、カードを1枚引く。,"[공격] 이 학생이 있는 에어리어에 다자신의 다른 학생이 없다면, 카드를 1장 뽑는다."
C-T-Dummy-3,[自分のエンドフェイズ]自分のデッキの上から1枚を矯正局に置く。,[자신의 엔드 페이즈] 자신의 덱 위에서 카드 1장을 교정국으로 보낸다.
X-T-061,これも私の力……？,이것도 나의 힘......?
X-T-061-T1,"カードを3枚引く。その後、自分の手札から2枚選んで矯正局に置く。このカードを矯正局に置く。
[EX-COMBO/秤アツコ]次の相手のターンのエンドフェイズまで、自分の生徒が受けるすべてのダメージを2減らす。","카드 3장을 뽑는다. 그리고 자신의 패에서 카드 2장을 선택해 교정국으로 보낸다.이 카드를 교정국으로 보낸다.
[EX-COMBO / 하카리 아츠코] 상대의 다음 엔드 페이즈까지, 자신의 학생들이 받는 모든 피해를 2 줄인다."
X-T-063,い、今支援します！,"지, 지금 지원할게요!"
X-T-060,et omnia vanitas！,Et Omnia Vanitas!
X-T-060-T1,"自分のデッキの上から1枚を矯正局に置く。相手のカード1つを選び、7ダメージを与える。
[EX-COMBO/錠前サオリ]このカードのコストは1になる。ダメージを与えるかわりに、そのカードを退却させる。","자신의 덱 위에서 1장을 교정국으로 보낸다. 상대의 학생 또는 설치물 1개를 선택한다. 그 대상에게 7 대미지를 준다.
[EX-COMBO / 조마에 사오리] 이 카드의 코스트가 1이 된다. 대미지를 주는 대신, 그 학생 또는 설치물을 퇴각시킨다."
X-T-062,虚しい世界,헛된 세계
特異現象捜査部,特異現象捜査部,초현상특무부
C-T-046,和泉元エイミ,이즈미모토 에이미
C-T-046-T1,[出撃・神秘解放]自分のデッキの上から5枚を見る。その中から、<セミナー>または<特異現象捜査部>最大1枚を選び、手札に加える。自分の手札から、『明星ヒマリ』最大1枚を選び、出撃または神秘解放させる。,"[출격・신비 해방] 자신의 덱 위에서 카드 5장을 보고, 그중 '세미나' 또는 '초현상특무부' 카드를 최대 1장 선택해 패로 가져온다. 자신의 패에서 '아케보시 히마리'를 최대 1장까지 선택해, 출격시키거나 신비 해방한다."
C-T-046-T2,[永続]この生徒は相手のカード効果で疲労せず、同じエリアに自分の他の<セミナー>または<特異現象捜査部>がある場合、+0/+2する。,"[지속] 이 학생은 상대의 효과에 인해선 피로 상태가 되지 않는다. 같은 에어리어에 자신의 다른 '세미나' 또는 '초현상특무부' 학생이 있다면, +0/+2를 얻는다."
C-T-046-T3,[被弾]この生徒のHPをX回復する。Xの値は、この生徒のLv×2とする。,[자신의 엔드 페이즈] 이 학생의 HP를 X 회복시킨다. X는 이 학생의 Lv×2다.
C-T-045,明星ヒマリ,아케보시 히마리
C-T-045-T1,[出撃・神秘解放]自分のデッキから、シャーレカード最大1枚を選び、手札に加える。,"[출격・신비 해방] 자신의 덱에서, 샬레 카드를 최대 1장까지 선택해 패로 가져온다."
C-T-045-T2,[自動]自分がシャーレカードをプレイした時、自分の生徒最大1人を選び、次の相手のターンのエンドフェイズまで、+3/+3する。,"[자동] 자신이 샬레 카드를 낼 때, 자신의 학생 1명을 선택한다. 상대의 다음 엔드 페이즈까지, 그 학생은 +3/+3을 얻는다."
C-T-045-T3,[永続]この生徒は、同じエリアに自分の他のカードがある場合、攻撃されない。,"[지속] 이 학생은 자신의 다른 카드가 같은 에어리어에 있다면, 공격받지 않는다."
X-T-046,不屈の意思,불굴의 의지
X-T-046-T1,"自分の生徒最大1人を選び、次の相手ターンのエンドフェイズまで、+0/+Xする。Xの値は、その生徒のLv×3とする。
[EX-COMBO/和泉元エイミ]選んだ生徒と同じエリアの自分の生徒全員のHPをすべて回復し、それらの生徒は、次の相手ターンのエンドフェイズまで、相手のカード効果では退却せず、カード効果によるダメージを受けない。",
X-T-045,実力をお見せしましょう,"후후, 실력을 보여드리죠."
X-T-045-T1,"自分の保健室から、[EX-COMBO/明星ヒマリ]を持たないEXスキルカードか、シャーレカード最大1枚を選び、手札に加える。
[EX-COMBO/明星ヒマリ]『明星ヒマリ』以外の自分の生徒最大1人を選び、次の相手のターンのエンドフェイズまで、+X/+0する。Xの値は、選んだ生徒のAPとする。","자신의 보건실에서 [EX-COMBO / 아케보시 히마리]가 기술되어 있지 않은 EX 스킬 카드 또는 샬레 카드 1장을 선택해 패로 가져온다.
[EX-COMBO / 아케보시 히마리] '아케보시 히마리' 이외의 자신의 학생을 최대 1명까지 선택한다. 그 학생은 상대의 다음 엔드 페이즈까지 +0/+X를 얻는다. X는 선택한 학생의 공격력이다. "
ヴェリタス,ヴェリタス,베리타스
C-T-070,小塗マキ,코누리 마키
C-T-070-T1,この生徒の出撃コストはX少なくなる。Xの値は、自分の<ミレニアム>の数に等しく、コストは0以下にならない。,이 학생의 출격 코스트를 X 감소시킨다. X는 자신의 필드에 있는 '밀레니엄'의 숫자. (최소 1)
C-T-070-T2,[出撃・神秘解放]相手の生徒1人を選ぶ。その生徒は、次の相手のターンのエンドフェイズまで、受けるすべてのダメージがX増える。Xの値は、この生徒のLv×2とする。,"[출격・신비 해방] 상대의 학생 1명을 선택한다. 그 학생은, 상대의 다음 턴 종료 시까지 받는 대미지가 X 증가한다. X는 이 학생의 Lv×2다."
C-T-070-T3,[攻撃・制圧]このカードと同じエリアの相手のカード1つを選び、2ダメージを与える。,[공격] 이 학생과 같은 에어리어에 있는 상대의 학생 또는 설치물을 선택해 2 대미지를 준다.
C-T-071,小鈎ハレ,오마가리 하레
C-T-071-T1,この生徒の出撃コストはX少なくなる。Xの値は、自分の<ミレニアム>の数に等しく、コストは0以下にならない。,이 학생의 출격 코스트를 X 감소시킨다. X는 자신의 필드에 있는 '밀레니엄'의 숫자. (최소 1)
C-T-071-T2,[出撃・神秘解放]《アテナ3号》を1個生成し設置する。,"[출격・신비 해방] '아테나 3호' 1개를 생성한다. 이 '아테나 3호'는 필드를 떠날 경우, 소멸한다."
C-T-071-T3,[攻撃]相手の生徒1人を選ぶ。この生徒が出撃している限り、その生徒は次の相手のターンのエンドフェイズまで、制圧できない。,"[공격] 상대의 학생 1명을 선택한다. 이 학생이 필드에 있는 한, 그 학생은 다음 상대 턴 종료 시까지 제압할 수 없다."
C-T-072,各務チヒロ,카가미 치히로
C-T-072-T1,この生徒の出撃コストはX少なくなる。Xの値は、自分の<ミレニアム>の数に等しく、コストは0以下にならない。,이 학생의 출격 코스트를 X 감소시킨다. X는 자신의 필드에 있는 '밀레니엄'의 숫자. (최소 1)
C-T-072-T2,[出撃・神秘解放]自分のデッキの上から5枚を見て、その中からカード最大2枚を選び、手札に加える。,"[출격・신비 해방] 자신의 덱 위에서 카드 5장을 보고, 그 중 최대 2장을 선택하여 패로 가져온다."
C-T-072-T3,[自分のエンドフェイズ]自分の手札から、現在のコストがX以下の<ミレニアム>を最大1人選び、出撃または神秘解放させる。Xの値は、自分の<ヴェリタス>の種類とする。,[자신의 엔드 페이즈] 자신의 패에서 현재 코스트가 X 이하인 '밀레니엄'을 최대 1장 선택해 출격시키거나 신비 해방한다. X는, 자신의 필드에 있는 '베리타스'의 종류이다.
C-T-072-T4,[永続]相手の生徒全員に-X/+0する。Xの値は、自分の場の、『各務チヒロ』以外の<ヴェリタス>の生徒の種類とする。,[지속] 모든 상대 학생은 -X/-0을 얻는다. X는 자신의 필드에 있는 '카가미 치히로' 이외의 카드명이 서로 다른 '베리타스' 학생의 종류이다.
C-T-073,音瀬コタマ,오토세 코타마
C-T-073-T1,この生徒の出撃コストはX少なくなる。Xの値は、自分の<ミレニアム>の数に等しく、コストは0以下にならない。,이 학생의 출격 코스트는 X 줄어든다. X는 자신의 필드에 있는 '밀레니엄'의 숫자. (최소 1)
C-T-073-T2,[出撃・神秘解放]この生徒と同じエリアの自分の生徒全員に、このターン、+X/+0する。Xの値は、この生徒のLvとする。,"[출격・신비 해방] 이 학생과 같은 에어리어에 있는 모든 자신의 학생들은 이번 턴 동안 +X/+0을 얻는다. X는 이 학생의 Lv이다. "
C-T-073-T3,[自動]相手の生徒が出撃したとき、このターンのエンドフェイズまで、その生徒は制圧できない。,"[자동] 상대의 학생이 출격했을 떄, 이번 턴 동안 그 학생은 제압할 수 없다."
X-T-070,世界をもっと色鮮やかに！,세상을 더 유쾌하게!
X-T-070-T1,"このカードのコストは、自分の保健室にEXスキルカードが3枚以上あれば、自分の<ヴェリタス>の種類だけ少なくなる。ただし、コストは0以下にならない。相手のカード1つを選び、5ダメージを与える。
[EX-COMBO/小塗マキ]このカードの与えるダメージがX増える。Xが7以上の場合、ダメージを与えるかわりに退却させる。Xの値は、自分の保健室にある<ミレニアム>生徒カードまたはEXスキルカードの種類の合計とする。","자신의 보건실에 EX스킬 카드가 3장 이상 있을 경우, 이 카드의 코스트는 X 줄어든다. X는 자신의 필드에 있는 '베리타스' 학생의 숫자. (최소 1)
상대의 카드 1장을 선택한다. 그 학생에게 5 대미지를 준다.
[EX-COMBO / 코누리 마키] 이 카드가 주는 대미지가 X 증가한다. X는 자신의 보건실에 있는 '밀레니엄' 학생 카드와 EX스킬 카드의 숫자. X가 7 이상이라면, 피해를 주는 대신 퇴각시킨다."
X-T-071,EMPドローン展開,EMP 드론 전개
X-T-071-T1,"このカードのコストは、相手の生徒が2人以上ある場合、1コスト少なくなる。《アテナ3号》を2個生成し設置する。
[EX-COMBO/小鈎ハレ]相手のカード1つを選び、そのカードと同じエリアの相手のカードすべてにXダメージを与える。Xの値は、自分の『アテナ3号』の個数とする。","필드에 상대의 학생이 2명 이상 있을 경우, 이 카드의 코스트를 1 감소시킨다.
'아테나 3호'를 2개 생성한다.
[EX-COMBO / 오마가리 하레] 상대의 카드 1장을 선택한다. 그 카드와 같은 에어리어에 있는 모든 상대의 카드에게 X 대미지를 준다. X는 자신의 필드에 있는 '아테나 3호'의 숫자."
X-T-072,オーバーライド,오버라이드
X-T-072-T1,"このカードは、自分の保健室にEXスキルカードが3枚以上ある場合、コストはX少なくなる。Xの値は、自分のカード名の異なる<ヴェリタス>の数に等しく、コストは0以下にならない。相手の生徒最大1人を選び、疲労させる。その生徒のコストが5以上の場合、次の相手のスタンバイフェイズに元気にならず、次の相手ターンのエンドフェイズまで、そのカードの効果を無効にする。
[EX-COMBO/各務チヒロ]自分の保健室の《オーバーライド》以外のEXスキルカード最大1枚を選び、手札に戻す。自分の保健室にEXスキルカードが5枚以上ある場合、カード名の異なる、自分の保健室の<ヴェリタス>または《オーバーライド》以外のEXスキルカードを最大5枚選び、デッキに戻す。","자신의 보건실에 EX스킬 카드가 3장 이상 있을 경우, 이 카드의 코스트는 X 줄어든다. X는 자신의 필드에 있는 '베리타스' 학생의 숫자. (최소 1)
상대 학생을 최대 1명까지 선택한다. 그 학생은 피로 상태가 된다. 그 학생의 코스트가 5 이상이라면, 그 학생은 상대의 다음 스탠바이 페이즈에 액티브 상태가 되지 않으며, 다음 상대 턴의 엔드 페이즈까지 효과가 무효화된다.
[EX-COMBO / 카가미 치히로] 자신의 보건실에서 '오버라이드' 이외의 EX스킬 카드를 최대 1장까지 선택해 패로 가져온다. 자신의 보건실에 EX스킬 카드가 5장 이상 있을 경우, 자신의 보건실에서 서로 카드명이 다른 '베리타스' 혹은 '오버라이드'가 아닌 EX스킬 카드를 최대 5장까지 선택해 덱으로 되돌린다."
X-T-073,傍受開始,감청 개시
